,user,text,favorite_count,retweet_count,created_at
98,elonmusk,@dogeofficialceo 🤣,2506,128,2023-04-21 22:26:33+00:00
99,elonmusk,@DavidSacks There needs to be some accountability here!,124101,16490,2023-04-21 22:19:20+00:00
100,elonmusk,@shellenberger @GavinNewsom Wow,5751,334,2023-04-21 22:17:41+00:00
101,elonmusk,"@RGVaerialphotos All that’s left of the concrete lateral support beam is the rebar! Hopefully, this didn’t gronk the launch mount.",10997,589,2023-04-21 22:16:41+00:00
102,elonmusk,@0xfoobar !,4151,371,2023-04-21 22:14:53+00:00
103,elonmusk,@wintonARK Interesting thread,3760,255,2023-04-21 21:35:58+00:00
104,elonmusk,"@SciGuySpace 3 months ago, we started building a massive water-cooled, steel plate to go under the launch mount. 

Wasn’t ready in time &amp; we wrongly thought, based on static fire data, that Fondag would make it through 1 launch.

Looks like we can be ready to launch again in 1 to 2 months.",50689,3963,2023-04-21 21:22:19+00:00
105,elonmusk,@EdKrassen 🤣🤣 It’s a real thing,10101,416,2023-04-21 16:17:22+00:00
106,elonmusk,@EdKrassen We’ve started a “save-a-celebrity fund” to pay their $8. We take this matter very seriously.,225432,17700,2023-04-21 16:03:45+00:00
107,elonmusk,@paulg I’ll pay for yours,29727,1328,2023-04-21 15:59:53+00:00
108,elonmusk,@alx What say you @SecBlinken?,35787,7579,2023-04-21 15:29:25+00:00
109,elonmusk,@shellenberger @briebriejoy @robbysoave They got caught,44018,4178,2023-04-21 15:27:21+00:00
110,elonmusk,@DavidSacks Exactly,12691,708,2023-04-21 15:26:23+00:00
111,elonmusk,@dom_lucre Good US history thread,15763,1583,2023-04-21 11:22:13+00:00
112,elonmusk,@Not_the_Bee It sucked,54670,1906,2023-04-21 04:26:26+00:00
113,elonmusk,@alifarhat79 @alx Couldn’t sleep last night because of Starship launch,6199,277,2023-04-21 04:25:44+00:00
114,elonmusk,@alifarhat79 @alx Have to sleep,4855,193,2023-04-21 04:18:25+00:00
115,elonmusk,@alx Maybe he’d like some 🧀 with his 🍷,19596,1209,2023-04-21 04:15:46+00:00
116,elonmusk,@BenStiller 🤣,12694,399,2023-04-21 04:12:51+00:00
117,elonmusk,"Great song 
https://t.co/TpFcobGrch",60402,5256,2023-04-21 03:49:33+00:00
118,elonmusk,@LibertyCappy Such a strange dichotomy …,47723,2064,2023-04-21 03:46:41+00:00
119,elonmusk,Such a great day in so many ways,343909,23432,2023-04-21 03:36:45+00:00
120,elonmusk,@BillyM2k Lmaoooo,6196,391,2023-04-21 02:50:49+00:00
121,elonmusk,@alx Same,9061,387,2023-04-21 01:06:38+00:00
122,elonmusk,"@RampCapitalLLC Hear, hear!",8480,421,2023-04-21 01:04:19+00:00
123,elonmusk,@nicksortor @nypost !!,4198,358,2023-04-21 01:03:21+00:00
124,elonmusk,@KimDotcom lol,58020,2114,2023-04-21 01:02:12+00:00
125,elonmusk,@wrong_speak They’ll survive … somehow …,52182,2446,2023-04-21 01:01:24+00:00
126,elonmusk,@DrJBhattacharya Fate hates hypocrisy,8177,665,2023-04-21 00:42:02+00:00
127,elonmusk,"@PopBase Just Shatner, LeBron and King",161605,6880,2023-04-21 00:39:55+00:00
128,elonmusk,@Jason As they should,4263,282,2023-04-20 22:51:45+00:00
129,elonmusk,@BillyM2k @ericnakagawa 🤣,3248,146,2023-04-20 22:51:04+00:00
130,elonmusk,@StephenKing @amayamario You’re welcome namaste 🙏,207275,7352,2023-04-20 22:42:18+00:00
131,elonmusk,@cb_doge @NBCUniversal It is  insane to trust any “social network” or “search” company that won’t show you their source code,54427,7640,2023-04-20 22:37:51+00:00
132,elonmusk,@KanekoaTheGreat And always will be,100159,6004,2023-04-20 22:35:59+00:00
133,elonmusk,@KanekoaTheGreat Exactly,13210,878,2023-04-20 22:34:18+00:00
134,elonmusk,@TitterDaily I’m paying for a few personally,9804,931,2023-04-20 22:09:37+00:00
135,elonmusk,@Anc_Aesthetics Good thread,3357,235,2023-04-20 21:52:25+00:00
136,elonmusk,@Anc_Aesthetics 🎯,1389,90,2023-04-20 21:52:03+00:00
137,elonmusk,@alx X,9846,664,2023-04-20 21:50:47+00:00
