,user,text,favorite_count,retweet_count,created_at
130,elonmusk,@BillyM2k @ericnakagawa 🤣,3248,146,2023-04-20 22:51:04+00:00
131,elonmusk,@StephenKing @amayamario You’re welcome namaste 🙏,207279,7352,2023-04-20 22:42:18+00:00
132,elonmusk,@cb_doge @NBCUniversal It is  insane to trust any “social network” or “search” company that won’t show you their source code,54428,7640,2023-04-20 22:37:51+00:00
133,elonmusk,@KanekoaTheGreat And always will be,100160,6004,2023-04-20 22:35:59+00:00
134,elonmusk,@KanekoaTheGreat Exactly,13210,878,2023-04-20 22:34:18+00:00
135,elonmusk,@TitterDaily I’m paying for a few personally,9804,931,2023-04-20 22:09:37+00:00
136,elonmusk,@Anc_Aesthetics Good thread,3357,235,2023-04-20 21:52:25+00:00
137,elonmusk,@Anc_Aesthetics 🎯,1389,90,2023-04-20 21:52:03+00:00
138,elonmusk,@alx X,9846,664,2023-04-20 21:50:47+00:00
139,elonmusk,Starship Liftoff https://t.co/7WLZcBCLRB https://t.co/X4DBvFMMrr,517867,26625,2023-04-20 21:50:10+00:00
140,elonmusk,Starship Supersonic https://t.co/twI9eqLFs1,486770,29864,2023-04-20 21:49:51+00:00
141,elonmusk,@NASAExoplanets Interesting theory,3690,263,2023-04-20 21:43:28+00:00
142,elonmusk,@lindayacc @PossibleEvent Thanks for having me,8218,574,2023-04-20 21:06:23+00:00
143,elonmusk,@SenBillNelson @SpaceX Thank you on behalf of the SpaceX team,23074,1066,2023-04-20 17:08:51+00:00
144,elonmusk,@krassenstein Thanks on behalf of the SpaceX team!,19551,1017,2023-04-20 17:06:24+00:00
145,elonmusk,@airandspace @SpaceX Thank you for your kind words on behalf of the SpaceX team!,58212,3211,2023-04-20 17:04:17+00:00
146,elonmusk,https://t.co/vX3M7B3J1G,841460,76623,2023-04-20 14:09:14+00:00
147,elonmusk,"Congrats @SpaceX team on an exciting test launch of Starship!

Learned a lot for next test launch in a few months. https://t.co/gswdFut1dK",503230,45058,2023-04-20 14:00:05+00:00
148,elonmusk,T-0 in 4 mins https://t.co/LIMFFjQwXz,302582,18109,2023-04-20 13:24:20+00:00
149,elonmusk,@EdKrassen @SpaceX Thanks!,2475,121,2023-04-20 13:20:24+00:00
150,elonmusk,10 minutes to launch https://t.co/To555HzMKB,90327,9130,2023-04-20 13:17:49+00:00
151,elonmusk,Starship on track to launch in ~37 mins,163779,13233,2023-04-20 12:50:51+00:00
152,elonmusk,@jana84818846 People for scale,23448,939,2023-04-20 10:11:52+00:00
153,elonmusk,@StephenKing Evil Dead 2,4576,319,2023-04-20 09:57:42+00:00
154,elonmusk,@Scobleizer chief nothing officer,45053,2142,2023-04-20 09:56:43+00:00
155,elonmusk,@westcoastbill Software update next week will allow the princely size of 5GB! 😂,13879,857,2023-04-20 05:25:16+00:00
156,elonmusk,@alx 🔥🤣,25670,1182,2023-04-20 04:48:00+00:00
157,elonmusk,All systems currently green for launch https://t.co/VxZOEaD652,165916,16387,2023-04-20 04:13:52+00:00
158,elonmusk,@verified Tomorrow is shaping up to be quite the day!,30728,2372,2023-04-20 04:08:58+00:00
